rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
38,48,GPT-4o-mini-2024-07-18,1113,+7/-7,17775,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
39,48,GPT-4o-2024-08-06,1111,+11/-11,3407,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o
40,46,GPT-4.1-nano-2025-04-14,1110,+18/-18,1215,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/
41,48,Qwen-VL-Max-1119,1106,+15/-15,1449,Alibaba,Proprietary,not specified,https://help.aliyun.com/zh/model-studio/user-guide/vision/?spm=a2c4g.11186623.0.0.33d259a8vPlZoe#f1cbd5b8a8k5w
42,49,Qwen2-VL-72b-Instruct,1094,+9/-9,6028,Alibaba,Qwen,2024/9,https://qwenlm.github.io/zh/blog/qwen2-vl/
43,48,Step-1V-32K,1092,+16/-16,1553,StepFun,Proprietary,not specified,https://platform.stepfun.com/docs/llm/vision
44,49,Gemini-1.5-Flash-8B-001,1091,+9/-9,6355,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b
45,54,Claude 3 Opus,1069,+9/-9,15943,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
46,55,Molmo-72B-0924,1059,+12/-12,3092,AI2,Apache 2.0,not specified,https://huggingface.co/allenai/Molmo-72B-0924
47,55,Gemini-1.5-Flash-001,1056,+10/-10,13585,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash
48,55,Pixtral-12B-2409,1056,+8/-8,7623,Mistral,Apache 2.0,2024/9,https://mistral.ai/news/pixtral-12b/
49,55,InternVL2-26B,1052,+11/-11,5265,OpenGVLab,MIT,2024/7,https://internvl.github.io/blog/2024-07-02-InternVL-2.0/
50,56,Llama-3.2-90B-Vision-Instruct,1047,+7/-7,8829,Meta,Llama 3.2,2023/11,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
51,55,Hunyuan-Standard-Vision-2024-12-31,1046,+21/-21,811,Tencent,Proprietary,not specified,https://cloud.tencent.com/document/product/1729/104753
52,55,Aya-Vision-32B,1041,+21/-21,849,Cohere,CC-BY-NC-4.0,not specified,https://huggingface.co/CohereForAI/aya-vision-32b
53,56,Amazon Nova Lite 1.0,1039,+14/-14,1877,Amazon,Proprietary,not specified,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
54,58,Qwen2-VL-7B-Instruct,1037,+9/-9,5854,Aliaba,Apache 2.0,not specified,https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct
55,59,Claude 3 Sonnet,1033,+10/-10,12679,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
56,59,Amazon Nova Pro 1.0,1029,+12/-12,2372,Amazon,Proprietary,not specified,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html
57,59,Yi-Vision,1027,+17/-17,1237,01 AI,Proprietary,2024/7,https://platform.01.ai/docs#models-and-pricing
58,64,Llama-3.2-11B-Vision-Instruct,1014,+10/-10,4893,Meta,Llama 3.2,2023/11,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
59,65,Molmo-7B-D-0924,1007,+12/-12,2854,AI2,Apache 2.0,not specified,https://huggingface.co/allenai/Molmo-7B-D-0924
60,67,Claude 3 Haiku,1000,+11/-11,13725,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
61,69,InternVL2-4b,990,+11/-11,3758,OpenGVLab,MIT,2024/7,https://internvl.github.io/blog/2024-07-02-InternVL-2.0/
62,68,NVILA-15B,989,+19/-19,1089,NVIDIA,-,not specified,https://huggingface.co/Efficient-Large-Model/NVILA-15B
63,69,LLaVA-v1.6-34B,987,+11/-11,4685,LLaVA,Apache 2.0,2024/1,https://llava-vl.github.io/blog/2024-01-30-llava-next/
64,70,CogVLM2-llama3-chat-19b,976,+14/-14,2026,Zhipu AI,CogVLM2,2024/7,https://huggingface.co/THUDM/cogvlm2-llama3-chat-19B
65,71,LLaVA-OneVision-qwen2-72B-ov-sft,971,+17/-17,1337,LLaVA,Apache 2.0,2024/8,https://huggingface.co/lmms-lab/llava-onevision-qwen2-72b-ov
66,72,MiniCPM-v 2_6,961,+15/-15,2041,OpenBMB,Apache 2.0,2024/7,https://huggingface.co/openbmb/MiniCPM-V-2_6
67,77,Phi-3.5-vision-instruct,900,+15/-15,2609,Microsoft,MIT,2024/8,https://huggingface.co/microsoft/Phi-3.5-vision-instruct
68,78,Phi-3-Vision-128K-Instruct,864,+17/-17,1436,Microsoft,MIT,2024/3,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct
