rank,rank_stylectrl,model,openrouter_id,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,displayed_name,pricing_source,id,description,pricing.prompt,pricing.completion,pricing.image,pricing
12,17,o3-2025-04-16,openai/o3,1185,+9/-9,5572,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o3,openrouter,openai/o3,"o3 is a well-rounded and powerful model across domains. It sets a new standard for math, science, coding, and visual reasoning tasks. It also excels at technical writing and instruction-following. Use it to think through multi-step problems that involve analysis across text, code, and images. ",2e-06,8e-06,0.00153,0.00154
13,17,Mistral Medium 3,mistralai/mistral-medium-3,1175,+9/-9,7511,Mistral,Proprietary,not specified,https://mistral.ai/news/mistral-medium-3,mistralai/mistral-medium-3,openrouter,mistralai/mistral-medium-3,"Mistral Medium 3 is a high-performance enterprise-grade language model designed to deliver frontier-level capabilities at significantly reduced operational cost. It balances state-of-the-art reasoning and multimodal performance with 8× lower cost compared to traditional large models, making it suitable for scalable deployments across professional and industrial use cases.

The model excels in domains such as coding, STEM reasoning, and enterprise adaptation. It supports hybrid, on-prem, and in-VPC deployments and is optimized for integration into custom workflows. Mistral Medium 3 offers competitive accuracy relative to larger models like Claude Sonnet 3.5/3.7, Llama 4 Maverick, and Command R+, while maintaining broad compatibility across cloud environments.",4e-07,2e-06,0.0,2.4e-06
14,18,Grok-4-0709,x-ai/grok-4,1171,+10/-10,7067,xAI,Proprietary,not specified,https://docs.x.ai/docs/models/grok-4-0709,x-ai/grok-4,openrouter,x-ai/grok-4,"Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling, structured outputs, and both image and text inputs. Note that reasoning is not exposed, reasoning cannot be disabled, and the reasoning effort cannot be specified. Pricing increases once the total tokens in a given request is greater than 128k tokens. See more details on the [xAI docs](https://docs.x.ai/docs/models/grok-4-0709)",3e-06,1.5e-05,0.0,1.8e-05
15,24,Grok-3-Preview-02-24,x-ai/grok-3,1136,+10/-10,5764,xAI,Proprietary,not specified,https://x.ai/blog/grok-3,x-ai/grok-3,openrouter,x-ai/grok-3,"Grok 3 is the latest model from xAI. It's their flagship model that excels at enterprise use cases like data extraction, coding, and text summarization. Possesses deep domain knowledge in finance, healthcare, law, and science.

",3e-06,1.5e-05,0.0,1.8e-05
16,24,Claude 3.5 Haiku (20241022),anthropic/claude-3.5-haiku,1132,+6/-6,22213,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/3-5-models-and-computer-use,anthropic/claude-3.5-haiku,openrouter,anthropic/claude-3.5-haiku,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engineered to excel in real-time applications, it delivers quick response times that are essential for dynamic tasks such as chat interactions and immediate coding suggestions.

This makes it highly suitable for environments that demand both speed and precision, such as software development, customer service bots, and data management systems.

This model is currently pointing to [Claude 3.5 Haiku (2024-10-22)](/anthropic/claude-3-5-haiku-20241022).",8e-07,4e-06,0.0,4.8e-06
17,24,Minimax-M1,,1128,+13/-13,3361,MiniMax,Apache 2.0,not specified,https://www.minimax.io/news/minimaxm1,Minimax-M1,free,,,,,,
18,26,o4-mini-2025-04-16,openai/o4-mini,1113,+9/-9,8850,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o4-mini,openrouter,openai/o4-mini,"OpenAI o4-mini is a compact reasoning model in the o-series, optimized for fast, cost-efficient performance while retaining strong multimodal and agentic capabilities. It supports tool use and demonstrates competitive reasoning and coding performance across benchmarks like AIME (99.5% with Python) and SWE-bench, outperforming its predecessor o3-mini and even approaching o3 in some domains.

Despite its smaller size, o4-mini exhibits high accuracy in STEM tasks, visual problem solving (e.g., MathVista, MMMU), and code editing. It is especially well-suited for high-throughput scenarios where latency or cost is critical. Thanks to its efficient architecture and refined reinforcement learning training, o4-mini can chain tools, generate structured outputs, and solve multi-step tasks with minimal delay—often in under a minute.",1.1e-06,4.4e-06,0.0008415,0.000847
19,31,o1-2024-12-17,openai/o1,1040,+10/-10,9235,OpenAI,Proprietary,not specified,https://openai.com/index/o1-and-new-tools-for-developers/,openai/o1,openrouter,openai/o1,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before responding. The o1 model series is trained with large-scale reinforcement learning to reason using chain of thought. 

The o1 models are optimized for math, science, programming, and other STEM-related tasks. They consistently exhibit PhD-level accuracy on benchmarks in physics, chemistry, and biology. Learn more in the [launch announcement](https://openai.com/o1).
",1.5e-05,6e-05,0.021675,0.02175
20,31,Llama-4-Maverick-17B-128E-Instruct,,1035,+11/-11,5474,Meta,Llama 4,not specified,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,free,,,,,,
21,35,DeepSeek-V3,,969,+12/-12,7699,DeepSeek,DeepSeek,not specified,https://huggingface.co/deepseek-ai/DeepSeek-V3,DeepSeek-V3,free,,,,,,
22,38,Llama-4-Scout-17B-16E-Instruct,,902,+27/-27,687,Meta,Llama,not specified,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,Llama-4-Scout-17B-16E-Instruct,free,,,,,,
