rank,rank_stylectrl,model,openrouter_id,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,displayed_name,pricing_source,id,description,pricing.prompt,pricing.completion,pricing.image,pricing
19,25,Claude Opus 4 (thinking-16k),anthropic/claude-opus-4,1371,+5/-5,23873,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-opus-4,openrouter,anthropic/claude-opus-4,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustained performance on complex, long-running tasks and agent workflows. It sets new benchmarks in software engineering, achieving leading results on SWE-bench (72.5%) and Terminal-bench (43.2%). Opus 4 supports extended, agentic workflows, handling thousands of task steps continuously for hours without degradation. 

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",1.5e-05,7.5e-05,0.024,0.02409
20,26,Mistral Medium 3,mistralai/mistral-medium-3,1371,+4/-4,33556,Mistral,Proprietary,not specified,https://mistral.ai/news/mistral-medium-3,mistralai/mistral-medium-3,openrouter,mistralai/mistral-medium-3,"Mistral Medium 3 is a high-performance enterprise-grade language model designed to deliver frontier-level capabilities at significantly reduced operational cost. It balances state-of-the-art reasoning and multimodal performance with 8× lower cost compared to traditional large models, making it suitable for scalable deployments across professional and industrial use cases.

The model excels in domains such as coding, STEM reasoning, and enterprise adaptation. It supports hybrid, on-prem, and in-VPC deployments and is optimized for integration into custom workflows. Mistral Medium 3 offers competitive accuracy relative to larger models like Claude Sonnet 3.5/3.7, Llama 4 Maverick, and Command R+, while maintaining broad compatibility across cloud environments.",4e-07,2e-06,0.0,2.4e-06
21,28,Qwen3-235B-A22B,,1368,+4/-4,25764,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/,Qwen3-235B-A22B,free,,,,,,
22,29,Qwen2.5-Max,qwen/qwen-max,1366,+3/-3,35377,Alibaba,Proprietary,not specified,https://qwenlm.github.io/blog/qwen2.5-max/,qwen/qwen-max,openrouter,qwen/qwen-max,"Qwen-Max, based on Qwen2.5, provides the best inference performance among [Qwen models](/qwen), especially for complex multi-step tasks. It's a large-scale MoE model that has been pretrained on over 20 trillion tokens and further post-trained with curated Supervised Fine-Tuning (SFT) and Reinforcement Learning from Human Feedback (RLHF) methodologies. The parameter count is unknown.",1.6e-06,6.4e-06,0.0,8e-06
23,29,Grok-3-mini-high,x-ai/grok-3-mini,1366,+5/-5,15656,xAI,Proprietary,not specified,https://docs.x.ai/docs/models,x-ai/grok-3-mini,openrouter,x-ai/grok-3-mini,"A lightweight model that thinks before responding. Fast, smart, and great for logic-based tasks that do not require deep domain knowledge. The raw thinking traces are accessible.",3e-07,5e-07,0.0,8e-07
24,30,o1-2024-12-17,openai/o1,1365,+4/-4,29038,OpenAI,Proprietary,not specified,https://openai.com/index/o1-and-new-tools-for-developers/,openai/o1,openrouter,openai/o1,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before responding. The o1 model series is trained with large-scale reinforcement learning to reason using chain of thought. 

The o1 models are optimized for math, science, programming, and other STEM-related tasks. They consistently exhibit PhD-level accuracy on benchmarks in physics, chemistry, and biology. Learn more in the [launch announcement](https://openai.com/o1).
",1.5e-05,6e-05,0.021675,0.02175
25,30,Grok-3-Mini-beta,x-ai/grok-3-mini-beta,1364,+5/-5,22193,xAI,Proprietary,not specified,https://docs.x.ai/docs/models,x-ai/grok-3-mini-beta,openrouter,x-ai/grok-3-mini-beta,"Grok 3 Mini is a lightweight, smaller thinking model. Unlike traditional models that generate answers immediately, Grok 3 Mini thinks before responding. It’s ideal for reasoning-heavy tasks that don’t demand extensive domain knowledge, and shines in math-specific and quantitative use cases, such as solving challenging puzzles or math problems.

Transparent ""thinking"" traces accessible. Defaults to low reasoning, can boost with setting `reasoning: { effort: ""high"" }`

Note: That there are two xAI endpoints for this model. By default when using this model we will always route you to the base endpoint. If you want the fast endpoint you can add `provider: { sort: throughput}`, to sort by throughput instead. 
",3e-07,5e-07,0.0,8e-07
26,35,o4-mini-2025-04-16,openai/o4-mini,1359,+4/-4,30207,OpenAI,Proprietary,not specified,https://openai.com/index/introducing-o3-and-o4-mini/,openai/o4-mini,openrouter,openai/o4-mini,"OpenAI o4-mini is a compact reasoning model in the o-series, optimized for fast, cost-efficient performance while retaining strong multimodal and agentic capabilities. It supports tool use and demonstrates competitive reasoning and coding performance across benchmarks like AIME (99.5% with Python) and SWE-bench, outperforming its predecessor o3-mini and even approaching o3 in some domains.

Despite its smaller size, o4-mini exhibits high accuracy in STEM tasks, visual problem solving (e.g., MathVista, MMMU), and code editing. It is especially well-suited for high-throughput scenarios where latency or cost is critical. Thanks to its efficient architecture and refined reinforcement learning training, o4-mini can chain tools, generate structured outputs, and solve multi-step tasks with minimal delay—often in under a minute.",1.1e-06,4.4e-06,0.0008415,0.000847
27,37,Gemma-3-27B-it,,1358,+4/-4,37211,Google,Gemma,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it,Gemma-3-27B-it,free,,,,,,
28,37,Gemini-2.0-Flash-001,google/gemini-2.0-flash-001,1358,+3/-3,43471,Google,Proprietary,not specified,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001,google/gemini-2.0-flash-001,openrouter,google/gemini-2.0-flash-001,"Gemini Flash 2.0 offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5). It introduces notable enhancements in multimodal understanding, coding capabilities, complex instruction following, and function calling. These advancements come together to deliver more seamless and robust agentic experiences.",1e-07,4e-07,2.58e-05,2.63e-05
29,39,Qwen3-Coder-480B-A35B-Instruct,,1354,+5/-5,11811,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3-coder/,Qwen3-Coder-480B-A35B-Instruct,free,,,,,,
30,42,Minimax-M1,,1349,+5/-5,22994,MiniMax,Apache 2.0,not specified,https://www.minimax.io/news/minimaxm1,Minimax-M1,free,,,,,,
31,45,Claude Sonnet 4 (thinking-32k),anthropic/claude-sonnet-4,1347,+5/-5,23013,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-4,anthropic/claude-sonnet-4,openrouter,anthropic/claude-sonnet-4,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in both coding and reasoning tasks with improved precision and controllability. Achieving state-of-the-art performance on SWE-bench (72.7%), Sonnet 4 balances capability and computational efficiency, making it suitable for a broad range of applications from routine coding tasks to complex software development projects. Key enhancements include improved autonomous codebase navigation, reduced error rates in agent-driven workflows, and increased reliability in following intricate instructions. Sonnet 4 is optimized for practical everyday use, providing advanced reasoning capabilities while maintaining efficiency and responsiveness in diverse internal and external scenarios.

Read more at the [blog post here](https://www.anthropic.com/news/claude-4)",3e-06,1.5e-05,0.0048,0.004817999999999999
32,45,Qwen3-32B,,1342,+9/-9,4074,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/,Qwen3-32B,free,,,,,,
33,48,GPT-4.1-mini-2025-04-14,openai/gpt-4.1-mini,1341,+4/-4,29904,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1-mini,openrouter,openai/gpt-4.1-mini,"GPT-4.1 Mini is a mid-sized model delivering performance competitive with GPT-4o at substantially lower latency and cost. It retains a 1 million token context window and scores 45.1% on hard instruction evals, 35.8% on MultiChallenge, and 84.1% on IFEval. Mini also shows strong coding ability (e.g., 31.6% on Aider’s polyglot diff benchmark) and vision understanding, making it suitable for interactive applications with tight performance constraints.",4e-07,1.6e-06,0.0,2e-06
34,48,Mistral-Small-2506,,1341,+5/-5,14920,Mistral,Apache 2.0,not specified,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-2506,free,,,,,,
35,48,Nvidia-Llama-3.3-Nemotron-Super-49B-v1.5,,1338,+9/-9,3898,Nvidia,Nvidia Open,not specified,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1_5,Nvidia-Llama-3.3-Nemotron-Super-49B-v1.5,free,,,,,,
36,49,o3-mini-high,openai/o3-mini-high,1338,+5/-5,19404,OpenAI,Proprietary,not specified,https://platform.openai.com/docs/guides/reasoning#reasoning-effort,openai/o3-mini-high,openrouter,openai/o3-mini-high,"OpenAI o3-mini-high is the same model as [o3-mini](/openai/o3-mini) with reasoning_effort set to high. 

o3-mini is a cost-efficient language model optimized for STEM reasoning tasks, particularly excelling in science, mathematics, and coding. The model features three adjustable reasoning effort levels and supports key developer capabilities including function calling, structured outputs, and streaming, though it does not include vision processing capabilities.

The model demonstrates significant improvements over its predecessor, with expert testers preferring its responses 56% of the time and noting a 39% reduction in major errors on complex questions. With medium reasoning effort settings, o3-mini matches the performance of the larger o1 model on challenging reasoning evaluations like AIME and GPQA, while maintaining lower latency and cost.",1.1e-06,4.4e-06,0.0,5.5e-06
37,49,Gemma-3-12B-it,,1335,+9/-9,3976,Google,Gemma,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-12b-it,Gemma-3-12B-it,free,,,,,,
38,50,DeepSeek-V3,,1334,+4/-4,22841,DeepSeek,DeepSeek,not specified,https://huggingface.co/deepseek-ai/DeepSeek-V3,DeepSeek-V3,free,,,,,,
39,50,QwQ-32B,,1333,+4/-4,24359,Alibaba,Apache 2.0,not specified,https://huggingface.co/Qwen/QwQ-32B,QwQ-32B,free,,,,,,
40,50,z-ai/glm-4.5-air,z-ai/glm-4.5-air,1332,+8/-8,6028,Zhipu,Proprietary,not specified,https://bigmodel.cn/dev/howuse/glm-4,z-ai/glm-4.5-air,openrouter,z-ai/glm-4.5-air,"GLM-4.5-Air is the lightweight variant of our latest flagship model family, also purpose-built for agent-centric applications. Like GLM-4.5, it adopts the Mixture-of-Experts (MoE) architecture but with a more compact parameter size. GLM-4.5-Air also supports hybrid inference modes, offering a ""thinking mode"" for advanced reasoning and tool use, and a ""non-thinking mode"" for real-time interaction. Users can control the reasoning behaviour with the `reasoning` `enabled` boolean. [Learn more in our docs](https://openrouter.ai/docs/use-cases/reasoning-tokens#enable-reasoning-with-default-config)",1.3e-07,8.5e-07,0.0,9.8e-07
41,52,Gemini-2.0-Flash-Lite,google/gemini-2.0-flash-lite-001,1330,+4/-4,26104,Google,Proprietary,not specified,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite,google/gemini-2.0-flash-lite-001,openrouter,google/gemini-2.0-flash-lite-001,"Gemini 2.0 Flash Lite offers a significantly faster time to first token (TTFT) compared to [Gemini Flash 1.5](/google/gemini-flash-1.5), while maintaining quality on par with larger models like [Gemini Pro 1.5](/google/gemini-pro-1.5), all at extremely economical token prices.",7.5e-08,3e-07,0.0,3.75e-07
42,51,Qwen-Plus-0125,qwen/qwen-plus,1327,+8/-8,6055,Alibaba,Proprietary,not specified,https://www.alibabacloud.com/help/en/model-studio/developer-reference/what-is-qwen-llm,qwen/qwen-plus,openrouter,qwen/qwen-plus,"Qwen-Plus, based on the Qwen2.5 foundation model, is a 131K context model with a balanced performance, speed, and cost combination.",4e-07,1.2e-06,0.0,1.6e-06
43,55,Command A (03-2025),,1327,+4/-4,36563,Cohere,CC-BY-NC-4.0,not specified,https://cohere.com/blog/command-a,Command A (03-2025),free,,,,,,
44,57,stepfun-ai/step3,stepfun-ai/step3,1321,+8/-8,5126,StepFun,Proprietary,not specified,https://platform.stepfun.com/docs/llm/text,stepfun-ai/step3,openrouter,stepfun-ai/step3,"Step3 is a cutting-edge multimodal reasoning model—built on a Mixture-of-Experts architecture with 321B total parameters and 38B active. It is designed end-to-end to minimize decoding costs while delivering top-tier performance in vision–language reasoning. Through the co-design of Multi-Matrix Factorization Attention (MFA) and Attention-FFN Disaggregation (AFD), Step3 maintains exceptional efficiency across both flagship and low-end accelerators.",5.7e-07,1.42e-06,0.0,1.99e-06
45,61,o3-mini,openai/o3-mini,1321,+3/-3,49094,OpenAI,Proprietary,not specified,https://openai.com/index/openai-o3-mini/,openai/o3-mini,openrouter,openai/o3-mini,"OpenAI o3-mini is a cost-efficient language model optimized for STEM reasoning tasks, particularly excelling in science, mathematics, and coding.

This model supports the `reasoning_effort` parameter, which can be set to ""high"", ""medium"", or ""low"" to control the thinking time of the model. The default is ""medium"". OpenRouter also offers the model slug `openai/o3-mini-high` to default the parameter to ""high"".

The model features three adjustable reasoning effort levels and supports key developer capabilities including function calling, structured outputs, and streaming, though it does not include vision processing capabilities.

The model demonstrates significant improvements over its predecessor, with expert testers preferring its responses 56% of the time and noting a 39% reduction in major errors on complex questions. With medium reasoning effort settings, o3-mini matches the performance of the larger o1 model on challenging reasoning evaluations like AIME and GPQA, while maintaining lower latency and cost.",1.1e-06,4.4e-06,0.0,5.5e-06
46,61,Qwen3-30B-A3B,,1321,+4/-4,25948,Alibaba,Apache 2.0,not specified,https://qwenlm.github.io/blog/qwen3/,Qwen3-30B-A3B,free,,,,,,
47,55,Llama-3.1-Nemotron-Ultra-253B-v1,,1320,+11/-11,2656,Nvidia,Nvidia Open Model,not specified,https://huggingface.co/nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,Llama-3.1-Nemotron-Ultra-253B-v1,free,,,,,,
48,64,o1-mini,openai/o1-mini,1319,+3/-3,54951,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1,openai/o1-mini,openrouter,openai/o1-mini,"The latest and strongest model family from OpenAI, o1 is designed to spend more time thinking before responding.

The o1 models are optimized for math, science, programming, and other STEM-related tasks. They consistently exhibit PhD-level accuracy on benchmarks in physics, chemistry, and biology. Learn more in the [launch announcement](https://openai.com/o1).

Note: This model is currently experimental and not suitable for production use-cases, and may be heavily rate-limited.",1.1e-06,4.4e-06,0.0,5.5e-06
49,65,Claude 3.7 Sonnet (thinking-32k),anthropic/claude-3.7-sonnet:thinking,1316,+4/-4,38392,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic/claude-3.7-sonnet:thinking,openrouter,anthropic/claude-3.7-sonnet:thinking,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",3e-06,1.5e-05,0.0048,0.004817999999999999
50,64,Llama-3.3-Nemotron-Super-49B-v1,,1310,+11/-11,2371,Nvidia,Nvidia,not specified,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1,Llama-3.3-Nemotron-Super-49B-v1,free,,,,,,
51,71,Gemma-3n-e4b-it,,1307,+5/-5,18513,Google,Gemma,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3n-e4b-it,Gemma-3n-e4b-it,free,,,,,,
52,75,GPT-4o-2024-05-13,openai/gpt-4o-2024-05-13,1302,+3/-3,117747,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/,openai/gpt-4o-2024-05-13,openrouter,openai/gpt-4o-2024-05-13,"GPT-4o (""o"" for ""omni"") is OpenAI's latest AI model, supporting both text and image inputs with text outputs. It maintains the intelligence level of [GPT-4 Turbo](/models/openai/gpt-4-turbo) while being twice as fast and 50% more cost-effective. GPT-4o also offers improved performance in processing non-English languages and enhanced visual capabilities.

For benchmarking against other models, it was briefly called [""im-also-a-good-gpt2-chatbot""](https://twitter.com/LiamFedus/status/1790064963966370209)

#multimodal",5e-06,1.5e-05,0.007225,0.007245
53,75,Qwen2.5-plus-1127,qwen/qwen-plus,1301,+6/-6,10715,Alibaba,Proprietary,not specified,https://help.aliyun.com/zh/model-studio/getting-started/models?spm=a2c4g.11186623.0.i7,qwen/qwen-plus,openrouter,qwen/qwen-plus,"Qwen-Plus, based on the Qwen2.5 foundation model, is a 131K context model with a balanced performance, speed, and cost combination.",4e-07,1.2e-06,0.0,1.6e-06
54,75,Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet,1300,+3/-3,43497,Anthropic,Proprietary,not specified,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic/claude-3.7-sonnet,openrouter,anthropic/claude-3.7-sonnet,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",3e-06,1.5e-05,0.0048,0.004817999999999999
55,77,Claude 3.5 Sonnet (20241022),anthropic/claude-3.5-sonnet,1299,+2/-2,90514,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use,anthropic/claude-3.5-sonnet,openrouter,anthropic/claude-3.5-sonnet,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

#multimodal",3e-06,1.5e-05,0.0048,0.004817999999999999
56,75,Deepseek-v2.5-1210,,1296,+7/-7,7243,DeepSeek,DeepSeek,not specified,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,Deepseek-v2.5-1210,free,,,,,,
57,82,Athene-v2-Chat-72B,,1294,+4/-4,26074,NexusFlow,NexusFlow,not specified,https://huggingface.co/Nexusflow/Athene-V2-Chat,Athene-v2-Chat-72B,free,,,,,,
58,77,Gemma-3-4B-it,,1293,+9/-9,4321,Google,Gemma,not specified,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-4b-it,Gemma-3-4B-it,free,,,,,,
59,83,GLM-4-Plus,z-ai/glm-4-32b,1292,+4/-4,27788,Zhipu AI,Proprietary,not specified,https://bigmodel.cn/dev/howuse/glm-4,z-ai/glm-4-32b,openrouter,z-ai/glm-4-32b,"GLM 4 32B is a cost-effective foundation language model.

It can efficiently perform complex tasks and has significantly enhanced capabilities in tool use, online search, and code-related intelligent tasks.

It is made by the same lab behind the thudm models.",1e-07,1e-07,0.0,2e-07
60,85,GPT-4o-mini-2024-07-18,openai/gpt-4o-mini-2024-07-18,1289,+3/-3,72423,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,openai/gpt-4o-mini-2024-07-18,openrouter,openai/gpt-4o-mini-2024-07-18,"GPT-4o mini is OpenAI's newest model after [GPT-4 Omni](/models/openai/gpt-4o), supporting both text and image inputs with text outputs.

As their most advanced small model, it is many multiples more affordable than other recent frontier models, and more than 60% cheaper than [GPT-3.5 Turbo](/models/openai/gpt-3.5-turbo). It maintains SOTA intelligence, while being significantly more cost-effective.

GPT-4o mini achieves an 82% score on MMLU and presently ranks higher than GPT-4 on chat preferences [common leaderboards](https://arena.lmsys.org/).

Check out the [launch announcement](https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/) to learn more.

#multimodal",1.5e-07,6e-07,0.007225,0.0072257499999999995
61,85,Llama-4-Maverick-17B-128E-Instruct,,1288,+4/-4,30434,Meta,Llama 4,not specified,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,Llama-4-Maverick-17B-128E-Instruct,free,,,,,,
62,85,GPT-4.1-nano-2025-04-14,openai/gpt-4.1-nano,1287,+7/-7,6302,OpenAI,Proprietary,not specified,https://openai.com/index/gpt-4-1/,openai/gpt-4.1-nano,openrouter,openai/gpt-4.1-nano,"For tasks that demand low latency, GPT‑4.1 nano is the fastest and cheapest model in the GPT-4.1 series. It delivers exceptional performance at a small size with its 1 million token context window, and scores 80.1% on MMLU, 50.3% on GPQA, and 9.8% on Aider polyglot coding – even higher than GPT‑4o mini. It’s ideal for tasks like classification or autocompletion.",1e-07,4e-07,0.0,5e-07
63,85,Meta-Llama-3.1-405B-Instruct-bf16,,1286,+3/-3,43788,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,Meta-Llama-3.1-405B-Instruct-bf16,free,,,,,,
